SpillNumber,ProgramFacilityName,Street1,Street2,Locality,County,ZIPCode,SWISCode,DECRegion,SpillDate,SpillYear,ReceivedDate,ContributingFactor,Waterbody,Source,CloseDate,MaterialName,MaterialFamily,Quantity,Units,Recovered
7580226,BARGE CANAL,BARGE CANAL,,BROCKPORT,Monroe,,2852,8,2/24/75,1975,2/24/75,Tank Failure,,Commercial/Industrial,2/24/75,kerosene,Petroleum,4000,Gallons,0
7580229,BARGE CANAL,HP NEUM COMPANY,,FAIRPORT,Monroe,14450,2844,8,2/18/75,1975,2/18/75,Equipment Failure,,Passenger Vehicle,2/18/75,gasoline,Petroleum,826,Gallons,0
7580220,BARGE CANAL,WATER STREET,,SENECA FALLS,Seneca,13148,5032,8,2/20/75,1975,2/20/75,Deliberate,,Gasoline Station or other PBS Facility,2/20/75,waste oil/used oil,Petroleum,50,Gallons,0
7580809,BARGE CANAL,BTWN WATKINS+MONTOUR FALL,,DIX,Schuyler,14865,4924,8,8/9/75,1975,8/9/75,Traffic Accident,BARGE CANAL,Vessel,8/10/75,gasoline,Petroleum,25,Gallons,0
7581113,BIRDS EYE FOODS,SPRING STREET,,AVON,Livingston,14414,2620,8,11/13/75,1975,11/14/75,Other,LAND,Commercial/Industrial,11/14/75,#2 fuel oil,Petroleum,0,Gallons,0
7580706,BIRDS EYE FOODS,SPRING STREET,,AVON,Livingston,14414,2620,8,7/5/75,1975,7/5/75,Equipment Failure,TRIB OF GENESEE RIV.,"Non Major Facility > 1,100 gal",7/8/75,#6 fuel oil,Petroleum,50,Gallons,0
7580203,BROCKPORT CREEK,RIDGE ROAD WEST,,BROCKPORT,Monroe,14420,2852,8,2/2/75,1975,2/2/75,Unknown,,Unknown,5/12/75,unknown petroleum,Petroleum,0,Gallons,0
7580203,BROCKPORT CREEK,RIDGE ROAD WEST,,BROCKPORT,Monroe,14420,2852,8,2/2/75,1975,2/2/75,Unknown,,Unknown,5/12/75,detergent,Other,0,,0
7580504,BROOK SIDE ELEMENTARY SCH,,,GREECE,Monroe,,2800,8,5/4/75,1975,5/6/75,Unknown,,Unknown,5/6/75,waste oil/used oil,Petroleum,0,Gallons,0
7580223,CANANDAIGUA LAKE,CANANDAIGUA PIER,,CANANDAIGUA,Ontario,14424,3524,8,2/23/75,1975,2/23/75,Deliberate,,"Institutional, Educational, Gov., Other",2/23/75,waste oil/used oil,Petroleum,20,Gallons,0
7580217,CHEMUNG RIVER,CORNING GLASS,,CORNING,Steuben,14830,5138,8,2/17/75,1975,2/18/75,Equipment Failure,,Private Dwelling,4/11/75,#2 fuel oil,Petroleum,647,Gallons,0
7581027,CHEVRON GAS STATION,BUELL ROAD & BROOKS AVE.,,GATES,Monroe,14606,2826,8,10/27/75,1975,10/28/75,Unknown,,Gasoline Station or other PBS Facility,4/1/80,gasoline,Petroleum,0,Gallons,0
7581210,CITCO STATION,ROUTE 21,,MARION,Wayne,14505,5932,8,12/10/75,1975,12/10/75,Human Error,,Gasoline Station or other PBS Facility,12/10/75,gasoline,Petroleum,20,Gallons,0
7580910,COMSTOCK FOODS,WHITE CREEK RD,,EGYPT,Monroe,14450,2844,8,9/10/75,1975,9/11/75,Human Error,WHITE CREEK,"Institutional, Educational, Gov., Other",9/11/75,#6 fuel oil,Petroleum,5,Gallons,0
7580222,CONESUS LAKE,ROUTE 20A,,LAKEVILLE,Livingston,14480,2634,8,2/17/75,1975,2/17/75,Tank Failure,,Private Dwelling,2/17/75,gasoline,Petroleum,0,Gallons,0
7580729,CORNING GLASS,CORNING GLASS,,CORNING,Steuben,14830,5138,8,7/29/75,1975,7/29/75,Other,,Commercial/Industrial,7/29/75,waste oil/used oil,Petroleum,50,Gallons,0
7580511,CRESTVIEW MOTEL,ROUTE 63 & ROUTE 104,,RIDGEWAY,Orleans,,3734,8,4/14/75,1975,5/8/75,Equipment Failure,,Gasoline Station or other PBS Facility,5/8/75,gasoline,Petroleum,0,Gallons,0
7581103,DIAZ CHEMICAL,40 Jackson Street,,Holley,Orleans,14470,3732,8,11/3/75,1975,11/4/75,Vandalism,SANDY CREEK,Unknown,12/5/75,unknown material,Other,7500,Gallons,0
7581112,DINABURG DISTRIBUTING,1012 SOUTH CLINTON AVE,,ROCHESTER,Monroe,,2814,8,11/12/75,1975,11/12/75,Unknown,,Unknown,11/12/75,hexachloroethane,Hazardous Material,0,Gallons,0
7580211,DUPONT WAREHOUSE,LEXINGTON & WREN,,ROCHESTER,Monroe,,2814,8,2/11/75,1975,2/11/75,Tank Overfill,,"Institutional, Educational, Gov., Other",2/11/75,#2 fuel oil,Petroleum,7000,Gallons,2500
7580315,DURAND EASTMAN,DURAND,,ROCHESTER,Monroe,,2814,8,3/13/75,1975,3/13/75,Tank Overfill,TRIB LAKE ONTARIO,"Major Facility (MOSF) > 400,000 gal",3/13/75,#2 fuel oil,Petroleum,0,Gallons,0
7580311,DURAND EASTMAN PARK,DURAND EASTMAN PARK,,ROCHESTER,Monroe,,2814,8,3/13/75,1975,3/13/75,Human Error,TRIB LAKE ONTARIO,"Institutional, Educational, Gov., Other",3/13/75,#2 fuel oil,Petroleum,2000,Pounds,0
7580312,ELDRE COMPONENTS BLDG,UNIVERSITY AVE.,,ROCHESTER,Monroe,,2814,8,3/12/75,1975,3/12/75,Tank Failure,,"Institutional, Educational, Gov., Other",3/12/75,#2 fuel oil,Petroleum,0,Gallons,0
7580619,"ENARC-O MACHINE PRODUCTS, INC.",1175 BRAGG ST.,,MENDON,Monroe,14472,2836,8,6/19/75,1975,6/19/75,Equipment Failure,HONEYEO CREEK,Commercial/Industrial,6/19/75,gasoline,Petroleum,50,Gallons,0
7580930,ERIE LACKWANNA RR,HORNELL DIESEL SHOP,,HORNELL,Steuben,14843,5106,8,9/30/75,1975,9/30/75,Housekeeping,CANISTEO RIVER,"Institutional, Educational, Gov., Other",11/6/75,waste oil/used oil,Petroleum,100,Gallons,0
7580616,EXPRESSWAY WB LANE,EAST SHORE IRONDEQUOIT,,IRONDEQUOIT (BAY),Monroe,14468,2834,8,6/16/75,1975,6/16/75,Traffic Accident,IRONDEQUIOT BAY,Tank Truck,6/17/75,#2 fuel oil,Petroleum,110,Gallons,0
7580701,EXXON SERVICE,STATE STREET,,PITTSFORD,Monroe,14534,2846,8,7/1/75,1975,7/1/75,Equipment Failure,BARGE CANAL,Gasoline Station or other PBS Facility,7/1/75,gasoline,Petroleum,2000,Gallons,0
7581028,FLANNIGANS,WEST HENRIETTA ROAD,,HENRIETTA,Monroe,14467,2832,8,10/27/75,1975,10/27/75,Deliberate,RED CREEK,Commercial/Industrial,10/27/75,#2 fuel oil,Petroleum,50,Gallons,0
7580926,FRONTIER DELIVERY INC,ROUTE 15 & ROUTE 33,,BATAVIA,Genesee,14020,1924,8,9/30/75,1975,9/3/75,Traffic Accident,TRIB BLACK CREEK,Tank Truck,10/1/75,ammonium thiosulfate,Other,2000,Gallons,0
7580403,GARLOCK SEALING TECHNOLOGIES,1666 DIVISION STREET,,PALMYRA,Wayne,14522,5936,8,4/3/75,1975,4/3/75,Unknown,,Commercial/Industrial,4/3/75,unknown petroleum,Petroleum,0,Gallons,0
7580923,GARLOCK SEALING TECHNOLOGIES,1666 DIVISION STREET,,PALMYRA,Wayne,14522,5936,8,9/22/75,1975,9/22/75,Equipment Failure,RED CREEK,"Institutional, Educational, Gov., Other",9/22/75,unknown material,Other,1000,Gallons,0
7981010,GATEWAY MACHINE SERVICE,4625 LYELL,,ROCHESTER,Monroe,,2814,8,10/10/75,1975,,Housekeeping,,Commercial/Industrial,2/25/11,waste oil/used oil,Petroleum,0,,0
7581229,GATHERING PIPE LINE,CHISTIAN HOLLOW RD.,,WEST UNION,Steuben,14877,5178,8,12/29/75,1975,12/29/75,Other,MARSH CREEK,Unknown,12/29/75,crude oil,Petroleum,120,Gallons,0
7580911,GENESEE CO HIGHWAY DEPT,SOUR SPRINGS RD,,ALABAMA,Genesee,14003,1920,8,9/10/75,1975,9/11/75,Human Error,,Unknown,9/19/75,unknown material,Other,0,Gallons,0
7580318,GERALD RIDER RESIDENCE,1234 WEST LAKE RD.,,GROVELAND,Livingston,14462,2628,8,3/18/75,1975,3/18/75,Tank Overfill,CONESUS LAKE,Tank Truck,3/19/75,#2 fuel oil,Petroleum,75,Gallons,0
7581206,HESS STATION,DEWEY AVE.,,GREECE,Monroe,,2828,8,12/6/75,1975,12/6/75,Tank Failure,,Unknown,12/6/75,gasoline,Petroleum,1000,Gallons,0
7581007,HESS,EAST RIDGE ROAD,,IRONDEQUOIT,Monroe,14626,2834,8,10/7/75,1975,10/7/75,Other,,Tank Truck,11/3/75,gasoline,Petroleum,54,Gallons,0
7580323,HINKLEY SHELL,WHITINGS RD,,ARCADIA,Wayne,14513,5920,8,3/19/75,1975,3/21/75,Housekeeping,GANARGUA CREEK,Tank Truck,3/21/75,gasoline,Petroleum,50,Gallons,0
7580724,HINKLEY STORAGE,ROUTE 88,,ARCADIA,Wayne,14513,5920,8,7/23/75,1975,7/23/75,Human Error,GROUND WATER,Gasoline Station or other PBS Facility,7/23/75,gasoline,Petroleum,200,Gallons,175
7581618,INTERNATIONAL SALT,INTERNATIONAL SALT,,WATKINS GLEN,Schuyler,14891,4928,8,6/18/75,1975,6/18/75,Equipment Failure,SENECA LAKE,Commercial/Industrial,7/28/75,salt brine,Other,800,Gallons,0
7580516,INTERNATIONAL SALT,INTERNATIONAL SALT,,WATKINS GLEN,Schuyler,14891,4928,8,5/15/75,1975,5/14/75,Other,SENECA LAKE,"Major Facility (MOSF) > 400,000 gal",5/15/75,#2 fuel oil,Petroleum,0,Gallons,0
7580720,IRMER VOLKSWAGON,71 MARSH ROAD,,PITTSFORD,Monroe,14445,2846,8,7/20/75,1975,7/20/75,Unknown,,Unknown,1/1/76,waste oil/used oil,Petroleum,0,Gallons,0
7580314,JC PENNY AUTO CENTER,ELMIRA-CORNING MALL,,BIG FLATS,Chemung,,824,8,3/13/75,1975,3/13/75,Equipment Failure,,Commercial/Industrial,3/13/75,unknown material,Other,100,Gallons,0
7580426,KENDALL CENTRAL,CITY RD 57,,KENDALL,Orleans,14476,3730,8,4/25/75,1975,4/25/75,Equipment Failure,ON LAND,"Institutional, Educational, Gov., Other",6/3/75,waste oil/used oil,Petroleum,50,Gallons,0
7581029,"LEASEWAY, INC",ROUTE 14,,VETERAN,Chemung,14845,840,8,10/29/75,1975,10/29/75,Traffic Accident,CATHERINE CREEK,Tank Truck,10/29/75,diesel,Petroleum,167,Gallons,0
2101021,LORDVILLE TRAIN DERAILMENT,1158 WARREN ROAD,,HANCOCK,Delaware,,1336,4,1/13/75,1975,5/4/21,Other,DELAWARE RIVER,Railroad Car,10/31/85,coal tar,Hazardous Material,0,,0
7580620,MARION FOODS,MARION FOOD,,MARION,Wayne,14502,5932,8,6/19/75,1975,6/19/75,Tank Overfill,,Commercial/Industrial,6/19/75,#6 fuel oil,Petroleum,50,Gallons,0
7580813,MARK'S GULF STATION,MAIN ST,,ADDISON,Steuben,14801,5120,8,8/13/75,1975,8/15/75,Human Error,CANISTEO RIVER,Gasoline Station or other PBS Facility,8/15/75,gasoline,Petroleum,0,Gallons,0
8702935,MILLIGAN & HIGGINS,MAPLE AVENUE,,JOHNSTOWN,Fulton,,1828,5,1/1/75,1975,7/13/87,Unknown,NONE,Commercial/Industrial,7/13/87,#6 fuel oil,Petroleum,300,Gallons,0
7580320,MONROE FORGING,MCKEE RD.,,ROCHESTER,Monroe,,2814,8,3/19/75,1975,3/19/75,Tank Failure,BARGE CANAL,"Institutional, Educational, Gov., Other",5/14/75,waste oil/used oil,Petroleum,0,Gallons,0
7580324,MONROE FORGING/BARGE CANAL,MCKEE ROAD,,GATES,Monroe,,2826,8,3/19/75,1975,,Unknown,,Unknown,2/17/11,#2 fuel oil,Petroleum,2000,Gallons,0
7580515,MRS. KOELSCH,214 DUXBURY RD.,,GREECE,Monroe,,2828,8,3/5/75,1975,3/5/75,Tank Failure,,Private Dwelling,5/3/75,oil based sealer,Petroleum,0,Pounds,0
7580515,MRS. KOELSCH,214 DUXBURY RD.,,GREECE,Monroe,,2828,8,3/5/75,1975,3/5/75,Tank Failure,,Private Dwelling,5/3/75,unknown petroleum,Petroleum,0,Gallons,0
7580419,MT. READ BLVD.,7941 MOUNT READ BLVD.,,ROCHESTER,Monroe,,2814,8,4/19/75,1975,4/19/75,Unknown,,Unknown,4/21/75,gasoline,Petroleum,0,Gallons,0
7580830,NAHTAN PECK PROPERTY,ROUTE 14,1/4 MILE NORTH OF T-WAY,PHELPS,Ontario,14532,3540,8,8/29/75,1975,8/29/75,Deliberate,GROUND WATER,Unknown,8/29/75,unknown material,Other,0,Gallons,0
7580912,NAPLES CREEK,ROUTE 53 & ROUTE 21,,NAPLES,Ontario,14512,3538,8,9/11/75,1975,9/11/75,Traffic Accident,SURFACE WATER,Tank Truck,9/19/75,diesel,Petroleum,25,Gallons,0
7580219,NEWTOWN CREEK,ELDRIDGE LAKE,,ELMIRA,Chemung,14901,830,8,2/17/75,1975,2/18/75,Other,NONE,Unknown,2/18/75,waste oil/used oil,Petroleum,0,Gallons,0
7580704,NORTH OF ROUTE 20A,ROUTE 15,,Livonia,Livingston,14487,2634,8,7/4/75,1975,7/4/75,Unknown,CONESUS LAKE,Unknown,7/4/75,waste oil/used oil,Petroleum,0,Gallons,0
7580918,NOTRE DAME CONVENT,1400 MAPLE AVE.,,ELMIRA,Chemung,14901,830,8,9/18/75,1975,9/19/75,Human Error,TRIB. CHEMUNG RIVER,Tank Truck,9/19/75,gasoline,Petroleum,450,Gallons,0
7580914,NYS THRUWAY,NYS THRUWAY AT EXIT 45,,VICTOR,Ontario,14564,3548,8,9/12/75,1975,9/12/75,Tank Failure,TRIB IRONDEQUOIT CRE,Tank Truck,9/12/75,diesel,Petroleum,50,Gallons,0
7580805,NYS TRUWAY,NYS THRUWAY MM 386,,BATAVIA,Genesee,14020,1924,8,8/5/75,1975,8/5/75,Traffic Accident,,Commercial Vehicle,8/5/75,diesel,Petroleum,20,Gallons,0
7580520,OIL COMPLAINT BUFFALO RD.,1200 BUFFALO RD.,,GATES,Monroe,14624,2826,8,5/9/75,1975,5/9/75,Vandalism,,Commercial/Industrial,6/20/75,waste oil/used oil,Petroleum,0,Gallons,0
7580722,PADDY HILL CREEK,144 JAMES TOWN TERRACE,,GREECE,Monroe,,2828,8,7/22/75,1975,7/22/75,Unknown,TRIB TO LAKE ONTARIO,Unknown,7/23/75,carbon black,Other,0,Gallons,0
7580218,PAPEC OIL,PAPEC FORAGE CO.,,SHORTSVILLE,Ontario,14548,3536,8,2/18/75,1975,2/18/75,Tank Overfill,GROUND WATER,"Non Major Facility > 1,100 gal",2/19/75,#2 fuel oil,Petroleum,800,Gallons,0
7580901,PARRWS SHELL STATION,FORMER GAS STATION,,WATERLOO,Seneca,13165,5038,8,9/1/75,1975,10/14/75,Equipment Failure,,Gasoline Station or other PBS Facility,10/17/75,gasoline,Petroleum,78,Gallons,0
7580310,PENFIELD SHELL,4 CORNERS,,PENFIELD,Monroe,14526,2842,8,3/6/75,1975,3/10/75,Tank Failure,,Gasoline Station or other PBS Facility,3/10/75,gasoline,Petroleum,0,Gallons,0
7580404,PENN CENTEAL,RR SWITCH STUTSON ST.,,ROCHESTER,Monroe,,2814,8,4/3/75,1975,4/3/75,Tank Overfill,GENESEE RIVER,Railroad Car,4/4/75,diesel,Petroleum,75,Gallons,0
7580416,PENN YAN,CLINTON STREET,,PENN YAN,Yates,14527,6228,8,4/15/75,1975,4/15/75,Human Error,,Tank Truck,4/15/75,gasoline,Petroleum,300,Gallons,0
7580301,RALPH TERULLI,1665 OLD PENFIELD ROAD,,PENFIELD,Monroe,14526,2842,8,3/1/75,1975,3/1/75,Deliberate,IRONDEQUOIT CREEK,Unknown,3/1/75,gasoline,Petroleum,75,Gallons,0
7580917,RE GINNA NUCLEAR POWER PLANT,1503 LAKE ROAD,,ONTARIO,Wayne,14519,5934,8,9/17/75,1975,9/17/75,Other,,"Institutional, Educational, Gov., Other",9/19/75,unknown material,Other,400,Gallons,0
7580505,REEDER'S CREEK,SENECA ARMY DEPOT,,VARICK,Seneca,14456,5036,8,5/5/75,1975,5/5/75,Other,,"Institutional, Educational, Gov., Other",5/5/75,waste oil/used oil,Petroleum,0,Gallons,0
7580409,ROTARY STATION,1685 LAKEVILLE ROAD,AVON SQUARE PLAZA,AVON,Livingston,14414,2620,8,4/9/75,1975,4/9/75,Tank Overfill,SANITARY SEWERS,Gasoline Station or other PBS Facility,8/1/75,gasoline,Petroleum,244,Gallons,0
7581110,ROUTE 490,ROUTE 490,,ROCHESTER,Monroe,,2814,8,11/10/75,1975,11/10/75,Other,,Tank Truck,11/10/75,diesel,Petroleum,200,Gallons,0
7580821,RUSELL STATION FACILITY,SLATER CREEK,,GREECE,Monroe,,2828,8,8/20/75,1975,8/21/75,Equipment Failure,SLATE CREEK,"Institutional, Educational, Gov., Other",8/22/75,unknown material,Other,0,Gallons,0
7480726,SCOTTSVILLE DODGE DEALER,MAIN STREET,,SCOTTSVILLE,Monroe,14546,2856,8,7/12/75,1975,7/26/75,Equipment Failure,,Private Dwelling,7/26/75,gasoline,Petroleum,0,Gallons,0
7580529,SENECA LAKE ALGAE GROWTH,SENECA LAKE,,READING,Schuyler,14876,4932,8,5/28/75,1975,5/28/75,Unknown,SENECA LAKE,Unknown,6/3/75,algae,Other,0,Pounds,0
7580228,SENECA LAKE TRIB.,WELL WEST ROUTE 14,,WATKINS GLEN,Schuyler,14891,4928,8,2/17/75,1975,2/17/75,Equipment Failure,GROUND WATER,Commercial/Industrial,2/17/75,#2 fuel oil,Petroleum,1500,Gallons,0
7580104,SENECA LAKE,ROUTE 14A,,READING,Schuyler,14876,4932,8,1/4/75,1975,1/4/75,Traffic Accident,ON LAND,Tank Truck,1/6/75,#2 fuel oil,Petroleum,100,Gallons,0
7580425,SENECA LAKE,ACROSS FROM GENEUP C.C.,,GENEVA,Ontario,14456,3530,8,4/25/75,1975,4/27/75,Vandalism,SENECA LAKE,Railroad Car,9/25/75,diesel,Petroleum,2500,Gallons,0
7580103,SENECA LAKE/AR GUNDRY CO,SENECA LAKE,,WATKINS GLEN,Schuyler,14891,4928,8,1/3/75,1975,1/3/75,Housekeeping,SENECA LAKE,Commercial/Industrial,10/15/75,#2 fuel oil,Petroleum,100,Gallons,0
7580801,SENECA LAKE/TRANSELCO,SENECA LAKE,,DRESDEN,Yates,,6200,8,8/1/75,1975,8/1/75,Unknown,SENECA LAKE,Unknown,8/2/75,#2 fuel oil,Petroleum,0,Gallons,0
7580801,SENECA LAKE/TRANSELCO,SENECA LAKE,,DRESDEN,Yates,,6200,8,8/1/75,1975,8/1/75,Unknown,SENECA LAKE,Unknown,8/2/75,kerosene,Petroleum,0,Gallons,0
7580718,SENECA-CAYUGA CANAL,CANAL WEST OF ROUTE 89,,SENECA FALLS,Seneca,13148,5032,8,7/18/75,1975,7/18/75,Unknown,,Unknown,7/21/75,#2 fuel oil,Petroleum,500,Gallons,0
7580208,SEWAGE TREAT PLANT BOOM,HOLLEY SEWAGE TREATMENT,,HOLLEY,Orleans,14470,3720,8,2/8/75,1975,2/18/75,Other,,Unknown,2/18/75,#2 fuel oil,Petroleum,250,Gallons,0
7580828,SHELL STATION,ROUTE 20A,,LIVONIA,Livingston,14487,2634,8,8/28/75,1975,8/28/75,Tank Failure,WILKINS CREEK,Gasoline Station or other PBS Facility,8/28/75,gasoline,Petroleum,0,Gallons,0
7580828,SHELL STATION,ROUTE 20A,,LIVONIA,Livingston,14487,2634,8,8/28/75,1975,8/28/75,Tank Failure,WILKINS CREEK,Gasoline Station or other PBS Facility,8/28/75,waste oil/used oil,Petroleum,0,,0
7581003,SHORTS GAS STATION,ROUTE 36,,HORNELL,Steuben,14843,5106,8,10/3/75,1975,10/3/75,Equipment Failure,,Gasoline Station or other PBS Facility,10/6/75,gasoline,Petroleum,25,Gallons,0
7580501,SLATER CREEK,SLATER CREEK,,ROCHESTER,Monroe,,2800,8,5/1/75,1975,5/1/75,Unknown,LAKE ONTARIO,Unknown,5/1/75,#2 fuel oil,Petroleum,0,Gallons,0
7580509,Spill Number 7580509,TOWN MARION HIGHWAY DEPT.,,MARION,Wayne,,5932,8,5/7/75,1975,5/14/75,Tank Overfill,TRIB OF RED CREEK,Tank Truck,5/14/75,diesel,Petroleum,50,Gallons,0
7580710,Spill Number 7580710,GARFIELD ST.,,ROCHESTER,Monroe,,2814,8,7/10/75,1975,7/15/75,Equipment Failure,,Tank Truck,7/15/75,#2 fuel oil,Petroleum,30,Gallons,0
7580716,SPILL NUMBER 7580716,MAIN ST,,MARION,Wayne,,5932,8,7/16/75,1975,7/16/75,Unknown,TRIB RED CREEK,Unknown,7/17/75,waste oil/used oil,Petroleum,50,Gallons,0
7580820,Spill Number 7580820,JACKIE CIRCLE EAST,,GREECE,Monroe,,2828,8,8/20/75,1975,8/20/75,Human Error,PADDY HILL CREEK,Private Dwelling,8/21/75,insecticide lorsban 4e,Other,20,Gallons,0
7580822,Spill Number 7580822,SUNY BROCKPORT,,BROCKPORT,Monroe,,2800,8,8/22/75,1975,9/8/75,Tank Overfill,,"Institutional, Educational, Gov., Other",9/11/75,#6 fuel oil,Petroleum,200,Gallons,0
7580922,Spill Number 7580922,RUSELL STATION,,GREECE,Monroe,,2828,8,9/22/75,1975,9/22/75,Equipment Failure,TRIB. LAKE ONTARIO,"Institutional, Educational, Gov., Other",9/22/75,unknown material,Other,90,Gallons,0
7581207,Spill Number 7581207,ROUTE NORTH BOUND,,GREECE,Monroe,,2828,8,12/6/75,1975,12/6/75,Other,,Tank Truck,12/24/75,gasoline,Petroleum,5,Gallons,0
7580205,SUNOCO-ROCHESTER,2179 CLIFFORD AVENUE,,ROCHESTER,Monroe,,2814,8,2/5/75,1975,2/5/75,Tank Failure,,Gasoline Station or other PBS Facility,2/5/75,gasoline,Petroleum,0,Gallons,0
7580431,TIB CONESUS LAKE,CONESUS LAKE,,LAKEVILLE,Livingston,14480,2634,8,4/30/75,1975,5/1/75,Deliberate,TRIB OF CONESUS LAKE,"Institutional, Educational, Gov., Other",5/7/75,kerosene,Petroleum,0,Gallons,0
7581121,TOW MOTOR CO.,975 JEFFERSON RD.,,HENRIETTA,Monroe,14467,2832,8,11/21/75,1975,11/21/75,Tank Overfill,ALLEN CREEK,Unknown,11/21/75,gasoline,Petroleum,30,Gallons,0
7580417,TRI LAKE ONTARIO,NEAR TO BUILDING 208,,WEBSTER,Monroe,14580,2854,8,4/15/75,1975,4/18/75,Equipment Failure,LAKE ONTARIO,Commercial/Industrial,4/18/75,waste oil/used oil,Petroleum,30,Gallons,0
7580418,TRIB BROCPORT CREEK,MAIN STREET,,BROCKPORT,Monroe,14420,2844,8,4/17/75,1975,4/17/75,Unknown,,Unknown,4/29/75,#2 fuel oil,Petroleum,100,Gallons,0
7580415,TRIB GARANGUA CREEK,HINKLEY SHELL FUEL,,ARCADIA,Wayne,14513,5920,8,4/15/75,1975,4/15/75,Housekeeping,GROUND WATER,Gasoline Station or other PBS Facility,4/29/75,#2 fuel oil,Petroleum,50,Gallons,0
7580512,TRIB GLENNMARK CREEK,DIX ST.,,ROSE,Wayne,14542,5938,8,5/5/75,1975,5/5/75,Deliberate,,Private Dwelling,5/5/75,waste oil/used oil,Petroleum,0,Gallons,0
7580201,TRIB OF BARGE CANAL,PARROW'S SERVICE STATION,,WATERLOO,Seneca,13165,5038,8,2/24/75,1975,2/24/75,Other,,Unknown,2/24/75,gasoline,Petroleum,1000,Gallons,0
7580705,TRIB OF CONESUS LAKE,ROUTE 20A,,LIVONIA,Livingston,14487,2634,8,7/4/75,1975,7/4/75,Unknown,TRIB CONESUS LAKE,Unknown,7/4/75,#2 fuel oil,Petroleum,0,Gallons,0
7580423,TRIB THOMAS CREEK,IRMER VW,,PERINTON,Monroe,14534,2844,8,4/23/75,1975,4/23/75,Other,TRIB THOMAS CREEK,Commercial/Industrial,4/23/75,waste oil/used oil,Petroleum,0,Gallons,0
7580225,TRIB. IRODEQUOIT,ROUTE 96,,VICTOR,Ontario,14564,3548,8,2/24/75,1975,2/24/75,Traffic Accident,SURFACE WATER,Tank Truck,2/24/75,diesel,Petroleum,70,Gallons,0
7580224,TRIB. OF BURGE CANAL,MAIN STREET,,WATERLOO,Seneca,13165,5038,8,2/24/75,1975,2/24/75,Equipment Failure,,Gasoline Station or other PBS Facility,2/24/75,gasoline,Petroleum,1000,Gallons,0
7580627,UNKNOWN,1891 HENRIETTA RD.,,ROCHESTER,Monroe,,2814,8,6/27/75,1975,6/27/75,Deliberate,,Private Dwelling,6/27/75,oil based sealer,Petroleum,0,Pounds,0
7580109,UNKNOWN,212 SOUTH MAIN STREET,,BROCKPORT,Monroe,,2800,8,1/9/75,1975,1/9/75,Equipment Failure,,Gasoline Station or other PBS Facility,1/9/75,gasoline,Petroleum,0,Gallons,0
7580221,UNKNOWN,12 CORNERS,,BRIGHTON,Monroe,,2820,8,2/19/75,1975,2/19/75,Tank Overfill,,Gasoline Station or other PBS Facility,2/19/75,gasoline,Petroleum,200,Gallons,0
7580506,UNKNOWN,SHERMAN ST.,,ROCHESTER,Monroe,,2814,8,5/6/75,1975,5/6/75,Tank Failure,,Tank Truck,5/7/75,gasoline,Petroleum,0,Gallons,0
7580518,UNKNOWN,RIVER + STUTSON ST.,,ROCHESTER,Monroe,,2814,8,5/16/75,1975,5/16/75,Other,,Vessel,5/16/75,gasoline,Petroleum,250,Gallons,0
7580627,UNKNOWN,1891 HENRIETTA RD.,,ROCHESTER,Monroe,,2814,8,6/27/75,1975,6/27/75,Deliberate,,Private Dwelling,6/27/75,gasoline,Petroleum,0,Gallons,0
7580227,UNKNOWN,630 TRABOLD ROAD,,GATES,Monroe,14606,2826,8,2/26/75,1975,2/26/75,Housekeeping,,Commercial/Industrial,2/26/75,waste oil/used oil,Petroleum,0,Gallons,0
7580508,UNKNOWN,MAIN STREET,,PENN YAN,Yates,14527,6228,8,5/6/75,1975,5/6/75,Equipment Failure,KEUKA LAKE OUTLET,Tank Truck,5/7/75,#2 fuel oil,Petroleum,400,Gallons,0
7581223,UNKNOWN,ROUTE 14,,GENEVA,Ontario,14456,3530,8,12/23/75,1975,12/23/75,Tank Overfill,SENECA LAKE,Tank Truck,12/29/75,diesel,Petroleum,30,Gallons,0
7580130,UNKNOWN,MAIN STREET,,ALBION,Orleans,14411,3720,8,1/30/75,1975,1/31/75,Equipment Failure,ON LAND,Commercial/Industrial,1/31/75,#2 fuel oil,Petroleum,400,Gallons,0
7580517,UNKNOWN,MAPLE AVE.,,VICTOR,Ontario,14564,3548,8,5/15/75,1975,5/15/75,Other,LAND,"Non Major Facility > 1,100 gal",5/15/75,#2 fuel oil,Petroleum,500,Gallons,0
7580507,UNKNOWN,ROUTE 54,,PENN YAN,Yates,14527,6228,8,5/6/75,1975,5/6/75,Traffic Accident,KEUKA LAKE,"Non Major Facility > 1,100 gal",5/7/75,unknown petroleum,Petroleum,180,Gallons,180
7580614,UNKNOWN,DOCHLER-JARVIS,,BATAVIA,Genesee,14020,1924,8,6/14/75,1975,6/14/75,Equipment Failure,TANAWANDA CREEK,Commercial/Industrial,6/14/75,unknown material,Other,10,Gallons,0
7581014,UNKNOWN,Scottsville Road,,Chili,Monroe,14624,2822,8,10/14/75,1975,10/14/75,Unknown,,Unknown,11/5/75,diesel,Petroleum,0,Gallons,0
7580502,UNKNOWN,OLD ROCK ROAD,,GATES,Monroe,14606,2826,8,5/2/75,1975,5/2/75,Deliberate,,"Institutional, Educational, Gov., Other",5/2/75,waste oil/used oil,Petroleum,0,Gallons,0
